,assgNo,fixcount,firstPassCnt,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,nRegressFrom,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,nWordsInTitle
10317,315,1,1,1,0,119,119,119,139,306.4841,156.5799,359.3884,60.2536,71.332,119,119.0,0,0,0,0,0.2313,0.2023,0.0158,4
784,23,1,3,1,1,179,139,675,537,418.9645,218.4176,407.7413,18.6078,10.0125,219,219.0,2,2961,1,159,0.0906,0.2406,0.0338,3
4675,144,1,1,1,0,139,298,298,219,667.4328,142.0317,732.6459,63.0496,51.8483,298,298.0,0,0,0,0,0.0797,0.1437,0.0326,8
6495,192,2,2,1,0,99,179,318,298,153.1837,92.7793,153.4959,99.6255,55.084,318,159.0,0,0,0,0,-0.0956,0.2284,0.0843,4
4575,142,1,1,1,1,179,139,139,139,561.0893,182.654,602.2242,39.2747,40.1995,139,139.0,0,0,0,0,0.0487,0.1072,0.01,6
7031,213,1,1,1,0,278,99,99,99,96.0,131.501,107.8378,45.7056,30.6105,99,99.0,0,0,0,0,0.0008,0.3253,0.0202,5
6835,204,1,1,1,1,119,99,99,139,224.2644,0.0,201.189,71.7008,53.577,80,80.0,0,0,1,575,0.4074,0.4074,0.0166,3
9406,291,1,1,1,1,99,219,219,159,68.8368,98.2306,16.2788,59.9354,40.025,139,139.0,2,536,0,0,0.2232,0.2812,0.0217,5
10180,310,1,1,1,1,99,99,99,99,66.2873,74.6073,74.4648,17.4929,9.8489,99,99.0,1,99,0,0,0.2032,0.2332,0.0127,9
4438,136,2,1,1,1,100,80,80,139,840.1341,138.6768,930.8281,91.0673,31.9531,377,188.5,0,0,0,795,0.0442,0.3717,0.0141,5
4518,139,1,1,1,0,139,258,258,159,153.5985,162.5192,98.4886,59.298,60.6671,258,258.0,0,0,0,516,0.3847,0.4932,0.0673,7
8273,258,1,1,1,1,80,139,139,119,206.8586,89.0688,250.05,67.6849,53.782,139,139.0,0,0,0,0,0.2114,0.0459,0.0227,6
5239,158,2,1,1,1,179,159,159,119,110.6628,428.8694,64.3817,39.5506,111.0912,358,179.0,3,4573,0,358,0.1878,0.2473,0.0636,4
2194,70,1,1,1,1,239,179,179,120,207.0054,181.3464,200.0025,16.5605,5.831,179,179.0,1,419,1,219,0.5499,1.8894,0.0145,8
5167,156,1,1,1,0,219,239,239,219,142.2849,117.8951,98.732,47.0425,48.5026,239,239.0,1,994,1,179,0.1033,0.2153,0.0495,5
8823,279,1,1,1,0,139,99,99,378,251.2195,263.6854,201.2486,51.2957,47.4236,99,99.0,0,0,0,0,0.1708,0.1023,0.0123,9
7044,214,2,2,1,0,159,99,357,119,294.3234,152.5524,331.5931,61.9879,51.1004,357,178.5,0,0,0,0,-0.0672,0.1698,0.1123,4
10676,328,1,1,1,0,179,119,119,119,54.2033,214.6683,112.8716,68.942,60.8153,119,119.0,0,0,1,119,0.0787,0.2647,0.0118,7
3632,112,2,1,1,1,99,119,119,99,117.2796,0.0,16.1245,104.5801,90.0028,238,119.0,1,555,0,99,0.614,0.614,0.0735,7
1648,51,1,1,0,1,119,219,219,179,103.7654,137.5227,114.3897,47.8017,66.3871,219,219.0,0,0,0,0,0.0506,0.3076,0.0983,7
9113,286,1,1,1,0,99,80,80,80,323.7901,126.58,273.1831,49.3356,53.7331,80,80.0,1,358,0,159,0.0587,0.2052,0.0089,6
6833,204,3,1,1,1,119,99,99,139,347.1041,133.366,458.119,114.0537,93.0712,377,125.6667,0,0,1,575,0.1829,0.4074,0.078,3
8780,278,1,1,1,0,139,139,139,139,172.0589,316.74,112.0402,58.3631,52.4047,139,139.0,2,1988,0,337,0.1363,0.1588,0.0185,4
3223,98,1,1,1,0,219,259,259,259,260.1216,283.9331,343.0,61.5833,61.6847,20,20.0,1,299,0,20,-0.3369,0.0441,0.0014,6
1186,37,3,3,1,0,139,99,496,139,232.8626,98.9949,198.2952,153.8059,59.6699,496,165.3333,0,0,0,0,-0.0442,0.0263,0.0615,7
623,20,1,1,1,1,139,398,398,139,164.5068,0.0,182.011,29.3471,28.7272,497,497.0,0,0,0,497,0.4361,0.4361,0.1909,4
7329,225,1,1,1,0,99,119,119,139,158.5599,120.5259,95.901,83.2857,79.577,119,119.0,1,238,0,0,0.2543,0.2008,0.0119,4
2219,70,1,1,1,1,219,179,179,20,1253.6963,0.0,280.6314,1115.0448,42.5441,558,558.0,0,0,0,916,2.0074,2.0074,0.0453,9
6222,183,3,3,1,0,219,298,636,99,635.0185,307.7873,686.0394,57.743,62.3899,636,212.0,0,0,0,0,0.1206,0.1256,0.0611,8
10403,317,2,2,1,0,219,159,278,139,96.6863,125.865,118.2074,22.5499,17.2192,278,139.0,0,0,1,556,0.1432,0.6747,0.0457,8
10503,321,1,1,1,0,99,100,100,179,209.2893,226.0868,162.373,53.033,45.0694,100,100.0,0,0,1,438,0.2282,0.3742,0.01,6
3559,110,2,2,1,0,99,119,238,80,120.0802,217.0576,148.0709,58.5769,73.1386,238,119.0,0,0,0,0,0.271,0.142,0.0367,5
864,26,1,1,0,1,179,139,139,219,154.0519,188.5239,74.0068,84.7172,85.0235,139,139.0,0,0,0,0,0.0774,0.2769,0.0355,5
3660,114,1,1,1,0,139,80,80,179,351.4872,112.5389,411.8944,91.5874,83.3142,80,80.0,1,1492,0,0,0.29,0.5515,0.025,6
9901,304,1,1,1,1,139,100,100,219,116.5386,204.6851,52.6308,76.4739,82.6514,199,199.0,0,0,0,1194,0.0915,0.159,0.0161,3
9003,283,1,2,1,0,179,119,199,139,193.0104,85.6417,188.4091,28.3064,16.4924,139,139.0,0,0,0,417,0.1122,0.3507,0.0195,6
6255,184,1,1,0,1,99,99,99,100,139.4104,183.4802,150.2332,52.2015,52.1177,99,99.0,0,0,0,99,0.168,0.179,0.0306,7
9533,294,1,1,1,0,119,139,139,298,204.1354,361.1122,34.2053,172.3231,177.6014,139,139.0,0,0,0,0,0.1621,0.2606,0.0233,7
9008,283,1,1,1,0,119,139,139,119,598.7088,225.1444,728.0934,125.2248,116.8471,139,139.0,0,0,0,0,0.0482,0.3507,0.0195,5
5161,156,1,1,1,0,179,179,179,159,389.7708,89.1866,293.6818,94.0651,104.0829,179,179.0,0,0,0,179,0.1013,0.1033,0.037,7
746,22,1,2,0,1,179,99,218,139,281.575,217.6293,80.604,210.5148,197.9274,179,179.0,1,6938,0,1191,0.0626,0.1671,0.0107,6
10210,311,1,1,1,0,139,219,219,239,321.0876,106.7907,333.1501,39.3573,24.5204,99,99.0,1,219,0,99,0.0997,0.2537,0.0124,9
3324,101,1,1,0,1,80,139,139,99,99.4208,244.0184,151.8552,57.2931,82.2253,139,139.0,0,0,0,179,0.3425,0.407,0.0359,6
510,15,1,1,1,1,219,139,139,179,116.1077,286.2713,89.8888,41.1886,36.0035,80,80.0,1,616,1,179,0.1853,0.1853,0.0085,7
7037,213,1,1,1,0,139,179,179,179,136.1323,124.6966,42.107,100.6007,99.1817,179,179.0,0,0,0,0,0.3253,0.5128,0.0365,6
5765,171,2,2,1,0,179,179,278,139,163.5069,143.7611,103.0049,65.2706,38.3275,278,139.0,0,0,0,0,0.018,0.0785,0.028,7
1684,52,1,1,0,1,139,159,159,179,198.142,848.0908,104.8094,91.9959,83.182,159,159.0,2,6001,0,0,0.0351,0.0766,0.014,4
8508,269,1,1,1,0,119,258,258,139,163.2728,78.6591,163.7834,20.6519,27.933,258,258.0,0,0,0,0,0.2067,0.1937,0.0577,3
1034,31,1,1,1,1,119,199,199,239,8.7464,53.2259,103.769,98.2102,97.0387,99,99.0,1,955,1,199,0.1189,0.1359,0.0085,4
1508,45,1,1,1,1,0,219,219,99,531.1,69.5881,597.5157,80.7419,81.5675,119,119.0,1,258,0,994,0.0001,0.0686,0.0188,5
