,label
10317,1
784,2
4675,1
6495,1
4575,1
7031,1
6835,2
9406,1
10180,2
4438,2
4518,2
8273,0
5239,2
2194,0
5167,2
8823,1
7044,1
10676,1
3632,2
1648,1
9113,1
6833,2
8780,2
3223,1
1186,0
623,2
7329,1
2219,2
6222,0
10403,1
10503,0
3559,1
864,1
3660,0
9901,0
9003,1
6255,0
9533,0
9008,1
5161,0
746,1
10210,1
3324,0
510,2
7037,2
5765,0
1684,1
8508,0
1034,0
1508,1
7772,0
3805,0
4934,2
2541,1
8412,2
6002,1
9497,0
409,1
7172,0
5581,0
5686,1
3521,2
6828,1
4588,1
479,2
2024,1
3479,0
5876,2
1850,2
5520,1
8569,2
5412,1
535,1
1954,1
8130,0
7269,2
7749,0
9456,0
7704,2
5919,0
6393,2
9985,2
3731,1
189,2
2982,1
7550,2
10732,1
4173,0
10599,2
4702,2
6371,1
9537,0
6202,0
6197,1
7883,2
10530,1
9346,2
8990,1
3460,1
5689,0
314,2
1700,1
539,1
3448,1
8600,0
6967,2
5136,1
3903,0
10609,0
5401,0
9148,1
5592,0
5682,1
10422,2
4144,1
2787,0
7364,1
8894,1
5645,2
96,0
6281,1
9878,2
4788,2
8956,2
4757,2
353,1
2227,2
8720,0
3461,1
3002,0
4062,1
4673,2
10262,0
883,0
4546,2
3905,0
10363,0
8841,1
503,1
5234,2
5794,1
6303,1
7417,1
5652,2
5414,0
1738,1
3652,2
8881,1
7672,1
7369,2
9520,2
8893,1
5437,2
7151,1
2737,1
10250,2
6055,0
927,2
9115,1
4613,0
4175,0
5464,2
1977,2
1286,2
7860,1
5574,1
8915,2
4671,2
2085,1
7130,1
4517,2
7163,1
10926,0
1881,0
3477,1
10416,2
19,0
10241,0
10085,0
393,1
7106,1
8574,2
7210,0
7418,0
1159,1
8106,1
1562,1
10344,2
8269,0
9299,0
6783,1
4760,1
9980,2
287,0
7605,1
10396,2
1292,1
6613,0
1649,1
8785,1
2400,2
10593,1
2650,2
1183,1
9940,0
7802,0
4690,1
9536,1
6313,0
8200,1
351,1
6622,0
3045,2
6404,0
6318,2
6829,0
5646,0
7557,1
1723,1
7834,0
6778,0
7800,0
253,0
5141,0
2306,1
8245,2
5277,2
1838,0
4020,2
5757,0
6932,0
1589,1
152,1
3401,1
621,2
3569,1
5075,0
300,1
2370,0
3332,0
5107,0
2180,1
5517,0
816,0
198,0
1742,2
9187,2
3303,1
9384,0
4364,1
7277,1
8908,1
2411,0
7584,2
3604,0
1037,1
1816,1
9846,2
186,0
6740,0
630,1
7404,1
2986,1
2319,1
8089,2
222,0
5864,1
4491,2
3446,0
1582,2
4066,1
4902,1
3393,0
7379,0
3565,0
2694,1
4141,0
5162,0
1504,1
145,2
7788,1
4882,1
6072,2
7159,1
6883,1
9062,1
7578,2
3536,1
9965,0
10580,0
8187,2
7728,2
7555,0
8423,2
3512,0
10185,2
10445,1
2153,0
1357,1
1555,1
7844,0
6836,0
2687,1
10890,0
1198,1
2297,0
7070,1
3124,0
1753,2
5736,2
10458,1
7464,1
6129,1
10479,1
2907,2
9307,0
3089,2
3745,1
10560,1
2568,0
1536,1
7359,0
6919,1
7041,0
6172,1
1273,2
6607,0
5170,2
3442,2
10841,1
2284,0
8803,1
5802,2
5820,2
10292,0
8487,2
10631,0
1117,0
8007,0
4486,2
5214,2
8568,2
6699,1
10915,1
3568,0
3262,1
10511,2
8182,1
7316,1
289,1
812,1
4983,2
3472,0
1051,0
5852,1
2103,0
3979,1
3655,0
2682,0
1145,0
8359,2
2439,0
8614,0
3486,0
7538,2
4318,0
2013,2
6430,0
9047,0
3922,0
7375,2
3633,0
4301,1
4554,1
7630,0
8008,0
2769,2
8911,2
4139,1
10577,0
3311,2
9237,2
3757,2
8796,1
8067,0
1875,1
7212,0
2760,1
3122,1
6935,0
10364,0
4758,1
3135,1
5192,0
7987,2
9109,0
1024,1
6951,2
8777,2
10466,2
9407,1
2300,1
1708,2
3101,0
3184,2
7775,0
10234,0
977,1
1978,2
9415,2
9362,0
9915,2
1858,1
5641,2
2195,0
7358,0
3057,2
991,1
83,2
4502,2
6104,1
8144,1
1557,1
3528,1
3869,1
1636,0
6750,1
2557,2
712,0
9776,0
7741,1
7959,2
9390,1
10282,1
8665,0
4984,2
5147,0
4662,0
6343,0
10468,2
3643,1
8482,0
6743,1
5534,1
7996,2
6388,0
9281,0
2910,2
10885,1
231,2
7242,2
9997,2
7415,0
5913,1
2800,1
8552,1
3222,1
8257,0
5968,2
6807,2
7282,0
9708,1
6861,2
9575,0
5837,2
9152,0
7513,1
4095,1
4242,0
8168,1
3295,1
3709,2
8013,2
2911,0
8916,2
5833,0
10626,2
2467,0
2994,0
1272,1
4390,0
10862,1
3615,0
9996,2
1226,2
8489,0
8805,0
7293,0
9274,0
2209,2
2895,1
6937,1
6785,1
1284,0
7252,1
8422,0
3744,1
6568,1
1879,0
3781,2
193,1
2398,2
2010,2
480,2
2514,1
9595,1
10583,1
10728,2
3011,1
4887,0
9235,1
2905,2
7047,1
761,0
8437,1
3277,0
14,2
71,0
7591,2
983,1
10588,0
3407,2
8076,1
10879,2
3150,0
1505,1
8764,0
664,1
9451,1
7869,2
4303,1
5236,2
1500,1
4776,2
8228,2
6171,1
2470,0
4773,0
10916,1
8768,2
9360,0
91,1
6474,2
5296,1
9340,2
7187,2
4740,1
6567,1
10035,2
9462,1
614,0
8404,2
1232,1
3708,2
5397,0
9634,0
9787,2
1975,2
6944,1
3247,2
120,0
5294,1
5545,0
367,0
716,0
9153,0
5387,2
315,2
500,1
3524,1
5683,1
7647,0
9831,1
4199,0
2163,1
1817,1
8590,1
8978,2
3242,2
4328,0
6731,2
8443,1
3807,0
7120,0
1944,1
2397,0
5015,0
4080,1
2733,0
5570,1
3993,1
2784,0
9660,2
8681,2
6973,1
1356,1
1133,1
9257,0
5002,1
10473,0
4612,1
5846,0
2655,2
10223,1
3176,1
4841,0
4264,2
5960,1
111,2
4494,2
9850,1
9179,2
5803,1
9610,2
2676,0
2240,0
7107,1
8163,0
492,1
1276,0
9392,0
9472,2
4768,1
10350,0
5240,2
3065,1
3772,1
1355,0
2084,1
9668,0
230,2
5304,2
9667,0
7572,1
6142,1
5696,2
8932,1
673,2
5381,1
8556,1
6086,0
1266,2
10856,2
5158,0
7773,2
4844,0
10477,1
6059,0
4016,2
647,1
1573,0
9063,0
5197,1
7350,0
799,1
5693,2
61,1
9770,1
5569,1
1298,1
10917,1
4036,0
4884,1
4170,0
10412,0
4922,0
9460,0
9207,1
2199,2
7309,0
9165,1
1373,0
3693,0
6558,1
1227,2
8162,0
6635,1
8512,1
6714,1
2314,1
380,0
9108,0
5357,0
3288,1
8040,1
9572,0
789,0
2004,0
2552,1
4828,0
9025,0
7575,1
6584,2
1303,0
9745,0
6483,2
4426,1
1372,1
4040,0
6338,1
6557,1
10105,0
8132,1
5586,1
3938,2
10869,1
10453,1
865,1
8357,2
10881,1
1628,0
2685,1
10165,0
8832,2
10691,0
3527,0
669,1
2271,1
5797,1
1025,1
5957,1
2988,1
7747,0
7455,0
5565,1
4425,1
6759,0
8407,2
10508,2
3942,2
1839,0
2551,1
390,2
8640,1
1530,2
7388,0
7485,0
2915,0
6138,1
9434,0
147,2
8570,0
1172,1
1847,2
1063,1
10094,1
2458,1
5258,1
4962,1
9377,2
8660,1
10689,0
5859,1
4126,1
3412,1
3915,1
47,2
9164,1
6146,0
1094,0
4574,0
4415,1
5212,1
4074,2
10802,1
9121,0
9149,1
5547,0
10097,1
1673,0
8755,2
4072,2
6606,1
4037,0
9371,2
2946,2
5648,2
5017,0
6728,0
10400,1
4205,0
2559,0
2857,1
10823,2
902,2
6972,1
158,0
7646,1
6686,2
8255,0
4184,1
5221,2
10259,0
7385,0
6438,2
9714,0
9882,2
1314,2
10896,0
4383,2
6601,2
5946,1
1896,1
8909,1
499,1
1727,1
8429,2
2064,1
8175,1
6235,0
2943,2
9895,1
7982,0
5819,2
10231,1
9293,1
1181,2
1358,1
2860,1
7685,2
3775,0
1868,0
1608,0
1005,1
3953,1
1827,1
7684,2
8023,2
7690,1
10285,1
8800,1
8523,0
9131,2
5809,0
6978,0
7472,2
7073,0
9718,1
10329,0
7945,1
6849,1
6709,1
6321,0
3180,0
1771,2
5660,2
4756,2
2030,0
9223,1
4499,2
313,2
8062,2
7248,0
10703,1
718,1
2239,0
10452,0
5247,0
395,1
6650,2
3665,1
4955,1
4307,1
7901,0
7460,0
2260,2
5701,1
9801,0
2589,1
4528,2
5542,2
9974,1
5076,0
1695,1
2914,0
9981,2
783,1
742,0
8573,2
6249,0
3997,1
7428,1
168,1
1842,0
8986,0
4308,1
6870,0
4871,1
1931,2
9240,2
6413,2
1126,0
5897,1
3535,1
6475,2
4932,1
8902,1
5945,0
4727,0
8148,2
6562,1
2192,0
5316,2
9523,2
174,1
9762,2
485,0
1982,2
5295,1
5358,2
2852,2
5792,1
4061,1
1674,0
432,2
10092,1
10080,1
6627,1
10299,1
7122,2
1613,2
9748,2
8005,0
1394,2
4799,1
8381,1
5529,0
5777,0
2371,0
2890,0
565,1
10219,2
2015,0
8960,2
10679,0
9399,2
10093,1
9133,2
9089,0
3034,1
731,0
8083,0
2673,0
8059,0
6600,2
2526,0
6916,0
4619,0
9654,0
4300,0
225,2
10187,2
9614,2
1669,1
4567,0
308,0
9212,0
8395,1
5445,1
5507,0
2296,0
6780,0
3020,1
1724,1
2106,0
9961,0
3662,1
874,1
7609,0
1733,1
1553,1
1459,1
772,2
2413,0
361,2
8230,2
5560,0
1393,2
2651,2
4169,0
5179,1
4365,1
4312,1
10010,0
9693,0
10295,1
2793,1
5561,0
2425,0
5055,2
6769,0
6355,0
3714,1
9326,0
5475,1
6282,1
744,1
1467,1
385,2
8491,0
7856,1
7039,2
9269,0
7908,1
1707,2
10277,1
1506,1
7239,2
2210,0
9719,1
8142,0
592,1
730,0
6442,1
153,0
2105,0
3091,1
10024,1
3392,0
4211,0
9154,0
9225,0
2921,1
8456,0
7708,2
9208,1
7958,2
10407,2
6713,0
7232,1
1577,2
2355,0
7698,2
2595,1
3167,1
4372,0
2292,1
304,1
7648,0
7089,0
6223,0
3207,0
3175,1
7348,0
10672,0
2535,1
720,1
10708,1
8787,0
10683,0
4942,0
6067,1
6873,2
1535,0
7075,0
2149,0
7872,0
5783,2
1829,1
4582,1
5679,1
5131,1
4337,0
8434,1
8745,0
554,1
612,2
2908,2
4780,2
7230,0
7179,0
1593,0
2282,0
2177,1
6004,1
5052,0
4296,0
9276,1
5487,1
10300,1
7072,0
438,1
2381,1
8199,1
10281,1
8867,0
2433,1
8478,1
10009,0
806,0
2763,0
9971,1
5095,0
5225,0
303,1
10688,0
3139,1
6243,2
7890,0
2434,1
5078,0
4683,1
1612,2
3969,2
7568,1
5808,1
1921,1
3243,2
10671,1
310,0
4186,1
10115,0
5986,2
10628,2
6762,0
3586,1
4384,0
10690,0
1457,1
2146,1
3360,1
4206,0
7880,2
7058,2
2923,2
4408,1
10608,0
10552,2
1336,1
10934,2
9839,0
1398,0
7064,1
49,1
9295,2
8022,1
7616,0
9594,1
8684,2
755,1
6768,1
2879,1
8466,1
4404,1
10078,1
9191,2
4043,1
6701,1
5575,1
10658,2
1021,2
6444,2
5703,1
8899,2
4632,2
2640,1
2142,0
1308,2
9432,0
9890,0
3810,2
7227,1
9014,2
9385,0
1243,1
8391,1
4905,0
9709,1
7423,2
9498,0
4197,1
7586,0
6099,1
10338,0
9556,2
901,0
2261,2
3990,1
5208,1
3987,1
5434,1
166,1
7281,0
7352,0
3664,1
7105,1
2155,2
4441,2
2506,1
6003,1
4897,2
4820,0
3994,1
7602,1
401,1
7413,0
5219,0
10056,0
7962,2
5050,0
5539,1
3228,1
4721,2
10274,2
6665,1
6638,1
6895,1
6464,2
2477,2
84,2
10711,0
5758,0
516,0
6461,1
2006,1
5739,0
4881,1
4545,2
10196,1
6269,0
2091,1
3349,1
4625,0
7169,0
9037,2
5063,0
5172,0
10532,0
68,0
7198,1
3855,1
2544,1
2756,1
6838,2
1069,2
3833,0
2723,0
8169,1
2471,1
2022,1
3804,0
9091,0
7462,0
7354,1
7558,1
7045,1
8941,0
6520,0
3189,2
5601,1
2645,0
2601,0
9178,2
447,1
73,0
10205,0
10718,1
8107,0
5578,1
6127,2
9372,2
10677,1
7554,1
5468,0
8906,0
270,0
9378,2
4013,0
1274,1
4188,1
44,2
8954,0
1626,0
9914,2
4975,2
8612,0
8053,0
10871,0
271,0
247,0
8306,0
2099,1
8367,1
6959,1
10379,2
2873,1
10007,0
9969,1
4088,1
9813,2
9692,0
2771,1
1559,1
10685,0
6852,1
2958,2
9280,0
10293,0
7786,0
715,0
8321,2
7408,0
5890,1
5748,2
4501,2
5521,1
4640,1
4000,0
8316,2
3019,0
5071,0
9220,2
7196,1
1407,1
9221,1
9624,0
5307,2
9230,0
5346,2
2289,0
9742,0
7056,0
2666,0
8501,2
10662,1
10850,0
8835,1
2141,1
10309,0
2711,1
3365,0
9737,1
5929,1
2356,0
10649,0
6535,0
1862,1
877,1
1822,1
3316,0
8122,1
3493,1
6083,0
4289,1
735,1
3495,0
3334,2
4395,0
5501,1
887,0
10140,2
6470,0
9010,1
6478,2
9117,1
2241,0
7304,2
5928,1
4648,1
2235,0
3061,1
9393,0
7863,1
10376,0
8433,2
10368,1
6330,0
468,2
9951,1
942,0
5232,2
3171,1
4500,2
4795,1
10643,2
2883,2
1509,1
6582,2
6236,0
3344,0
2326,1
2135,0
9452,0
1719,0
3170,1
3375,1
8774,0
6382,2
10868,1
8775,0
8449,1
1883,0
1852,2
10904,1
2532,0
5853,1
10586,0
1119,0
7981,1
5895,1
9050,1
3567,0
2674,1
2305,1
3768,2
3636,1
9780,0
6411,1
6912,1
5096,0
9870,2
6795,2
9939,0
7841,1
7284,1
9016,2
9906,1
2876,1
3829,1
1384,2
4954,1
1552,1
7998,2
4769,1
4033,2
4034,2
10204,0
2519,0
9512,0
9544,1
10779,1
9282,1
7233,2
9252,1
7336,1
340,1
3239,0
3577,2
4266,2
5122,0
1279,0
7191,0
10512,0
461,1
296,1
331,1
7158,0
1863,1
2716,1
10497,1
7265,2
272,0
1321,1
10825,2
8039,2
4439,2
9288,0
7453,0
8368,0
7349,0
2825,1
7614,0
778,0
1484,0
2137,1
7062,1
4443,2
8074,1
9818,0
3769,2
4607,1
4562,0
7686,2
2634,1
3704,0
10151,1
6735,0
4958,0
9835,1
2853,2
8967,0
2617,1
3719,0
9036,2
4516,2
7849,0
8870,1
2388,1
4480,1
2465,1
10865,1
5456,0
10756,2
10827,2
10271,1
4119,1
2709,1
114,1
1675,0
5800,2
1961,1
1726,1
8592,1
912,0
2865,1
9945,0
9765,2
7543,0
10810,0
7833,2
774,1
6089,1
9490,1
51,1
559,1
2581,0
3961,0
9565,0
3541,2
8701,0
7665,1
7650,0
7183,2
10052,1
2590,1
3956,1
9236,2
3899,0
4089,1
9079,2
3803,0
3916,1
7643,0
8554,1
6471,0
2962,1
5514,0
9342,2
2419,2
9803,1
9413,2
5939,2
5869,0
9058,1
2102,0
87,2
4223,1
6879,2
5444,1
2550,1
3808,2
8447,1
7937,1
6518,1
8330,2
229,2
7644,0
5979,2
7636,2
6880,2
10124,2
889,1
10366,1
3439,0
819,0
7032,1
5463,2
6920,1
3661,0
2970,1
5627,1
6938,1
4822,0
1446,1
2019,2
8942,0
6290,0
1519,2
9423,0
9962,0
9763,2
2511,1
3576,2
2973,0
7357,0
4147,1
6357,0
7587,0
3532,1
915,0
1488,1
3263,1
899,0
188,0
10048,0
8270,1
4274,0
2976,0
107,2
3566,0
5013,0
5589,1
2596,1
8583,2
10394,1
9716,1
5710,0
6554,2
7544,1
8520,0
2143,0
2369,0
5389,2
3717,1
1143,1
8288,0
4908,1
4181,1
10002,0
7946,1
6429,1
1048,2
5123,0
7500,1
3087,2
1653,2
7774,0
6185,2
3323,0
1548,1
10068,0
3788,0
4593,2
7734,1
117,1
1979,2
9920,1
4360,1
8985,0
9409,1
7095,0
6952,2
5576,1
2690,0
8510,1
5146,0
3962,0
1242,0
10142,0
9859,1
419,2
1390,2
6020,0
9798,0
180,2
57,0
724,0
7088,1
1257,2
4094,1
6660,0
626,0
827,2
213,1
6377,1
1225,2
2313,1
9067,0
5049,0
7448,0
10723,0
1809,0
7325,2
6046,0
5717,1
3296,1
2248,0
10312,0
9968,1
1361,1
305,1
7819,2
5410,1
4961,1
9647,2
8767,2
2963,1
1889,2
489,1
678,0
7927,2
8479,0
2670,1
4396,0
10795,1
8654,2
6534,0
1096,1
8962,2
4876,1
9508,1
1113,2
2203,2
6998,1
4471,2
9720,1
3759,2
9203,0
2072,1
6143,1
6524,1
10248,2
478,2
8818,0
5306,2
8519,0
4137,1
8096,2
5080,1
8506,2
6923,2
4621,0
8514,1
7499,1
1740,2
5505,0
6565,1
3160,2
6217,1
616,1
7853,1
7099,2
4580,1
10801,1
6479,2
1224,2
1046,0
5880,2
6320,2
6114,2
5152,2
7264,0
1903,2
9616,2
9721,0
6598,1
10800,1
3912,1
10607,1
10303,2
1774,2
1234,0
4796,1
10494,1
3764,0
6176,1
861,1
8537,1
1352,0
3090,2
5135,1
3531,1
1031,0
1360,1
2653,2
5987,2
8672,0
5053,2
10846,0
7828,0
4669,2
3649,2
5249,0
9550,2
9485,1
3463,2
142,2
9260,1
5105,1
4512,1
659,0
3335,0
10328,0
5722,0
682,0
2912,1
9205,1
10423,0
